timestamp,type,epoch,step,loss,perplexity,tokens,batches,tokens_per_second,learning_rate,gradient_norm
1784786483.825193,train,1,207,4.246619701385498,,29,,2475.0098691117996,0.0001985951191550003,4.156949996948242
1784786483.876478,train,1,208,3.1948599815368652,,62,,4849.338106879023,0.00019856880713570906,2.0015764236450195
1784786483.926153,train,1,209,4.75670862197876,,194,,18487.12075898886,0.00019854225297268106,1.3137524127960205
1784786483.975932,train,1,210,5.73823356628418,,25,,2285.7838786887314,0.0001985154567385144,5.377701759338379
1784786484.0267122,train,1,211,2.699516773223877,,43,,3456.0012858889063,0.000198488418506469,5.3188323974609375
1784786484.077056,train,1,212,2.3366806507110596,,34,,2886.686761495183,0.00019846113835046635,3.1490981578826904
1784786484.127106,train,1,213,2.2992284297943115,,77,,6703.764313583438,0.0001984336163450893,1.0156599283218384
1784786484.176733,train,1,214,3.4798667430877686,,35,,3035.537558509645,0.00019840585256558198,3.4080650806427
1784786484.226688,train,1,215,3.667264699935913,,56,,5113.08547280038,0.00019837784708784953,2.738247871398926
1784786484.276732,train,1,216,4.6509904861450195,,81,,7651.313945760359,0.00019834959998845785,1.7070854902267456
1784786484.32648,train,1,217,4.7826313972473145,,191,,17403.1890586198,0.0001983211113446334,1.8199501037597656
1784786484.376605,train,1,218,3.3102502822875977,,36,,3166.923247298282,0.00019829238123426308,2.500486135482788
1784786484.426933,train,1,219,5.617589950561523,,99,,8570.717679439429,0.00019826340973589393,3.38390851020813
1784786484.476956,train,1,220,4.2597503662109375,,21,,1729.6288639362356,0.00019823419692873283,4.9137091636657715
1784786484.528249,train,1,221,5.285572052001953,,29,,1922.0200670981728,0.0001982047428926466,3.257958173751831
1784786484.5795908,train,1,222,1.9889206886291504,,82,,7515.494750672279,0.00019817504770816135,1.2867108583450317
1784786484.629451,train,1,223,5.530849933624268,,97,,9167.086981439666,0.00019814511145646265,1.7218811511993408
1784786484.679562,train,1,224,5.270738124847412,,35,,3153.2477492787,0.00019811493421939503,3.041069984436035
1784786484.729478,train,1,225,5.842895984649658,,15,,1334.539282479077,0.0001980845160794619,4.101311683654785
1784786484.779207,train,1,226,3.867785930633545,,133,,11801.242233201574,0.00019805385711982532,1.3729207515716553
1784786484.8293939,train,1,227,5.962594032287598,,32,,2770.9027169989527,0.00019802295742430573,2.519944667816162
1784786484.8795068,train,1,228,2.2242705821990967,,11,,959.6615014008864,0.00019799181707738165,4.780575275421143
1784786484.92944,train,1,229,5.858718395233154,,40,,3504.787846820487,0.00019796043616418965,2.342923402786255
1784786484.979724,train,1,230,2.8260560035705566,,99,,8477.35779056703,0.00019792881477052396,1.1777195930480957
1784786485.030862,train,1,231,5.185769081115723,,205,,14749.174457922749,0.0001978969529828362,1.2922120094299316
1784786485.081346,train,1,232,4.4374895095825195,,50,,4078.247873475161,0.00019786485088823537,2.1490039825439453
1784786485.1309361,train,1,233,2.0044562816619873,,56,,4737.081408999581,0.00019783250857448726,2.5775983333587646
1784786485.180846,train,1,234,4.691279888153076,,98,,7999.401185555689,0.00019779992613001463,1.7679213285446167
1784786485.230346,train,1,235,3.7887156009674072,,127,,13529.228034094282,0.00019776710364389659,1.1938649415969849
1784786485.279726,train,1,236,5.401247024536133,,63,,6665.109361241441,0.00019773404120586855,2.4888477325439453
1784786485.329277,train,1,237,3.601546049118042,,39,,3740.4542896967105,0.00019770073890632196,3.170431137084961
1784786485.378939,train,1,238,3.8782010078430176,,18,,1671.6324981486775,0.00019766719683630407,2.162071943283081
1784786485.4288251,train,1,239,4.259528160095215,,10,,914.8678001835442,0.0001976334150875176,4.934830188751221
1784786485.478765,train,1,240,3.4740145206451416,,73,,6393.716851756222,0.00019759939375232053,2.9286279678344727
1784786485.52947,train,1,241,5.007546901702881,,18,,1301.4400507599153,0.00019756513292372595,3.53293776512146
1784786485.579217,train,1,242,5.388087749481201,,24,,2291.205978039305,0.00019753063269540156,4.489370822906494
1784786485.628984,train,1,243,4.339415073394775,,7,,697.6975980202317,0.00019749589316166977,7.541181564331055
